ResidenceZipCode	PartyName	VBMReturnStatus	VBMReturnChallenge	ChallengeDiscription
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94945	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94949	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94930	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94957	No Party Preference	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94937	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94941	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94947	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94965	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94903	Republican	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94960	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
94901	Democratic	Challenged                                        	E+7	Return envelope arrived during plus seven with invalid postmark or date on envelope
