REJECTION,PARTY,TYPE,PRECINCT
VOTED WRONG COUNTY,AI,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTER ALREADY VOTED,REP,PROVISIONAL,117001
VOTED WRONG COUNTY,AI,PROVISIONAL,121001
VOTER ALREADY VOTED,REP,PROVISIONAL,124003
VOTED WRONG COUNTY,NPP,PROVISIONAL,
VOTER ALREADY VOTED,REP,PROVISIONAL,129001
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,129001
VOTED WRONG COUNTY,DEM,PROVISIONAL,128007
VOTER ALREADY VOTED,NPP,PROVISIONAL,117011
VOTER ALREADY VOTED,NPP,PROVISIONAL,117001
VOTER ALREADY VOTED,DEM,PROVISIONAL,124005
VOTED WRONG COUNTY,REP,PROVISIONAL,
VOTED WRONG COUNTY,DEM,PROVISIONAL,129001
NO VOTER SIGNATURE,REP,PROVISIONAL,117112
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,
VOTER ALREADY VOTED,NPP,PROVISIONAL,107001
VOTER ALREADY VOTED,AI,PROVISIONAL,103002
VOTER ALREADY VOTED,REP,PROVISIONAL,110008
VOTED WRONG COUNTY,DEM,PROVISIONAL,
NO VOTER SIGNATURE,DEM,PROVISIONAL,117009
VOTER ALREADY VOTED,NPP,PROVISIONAL,124005
NO VOTER SIGNATURE,NPP,PROVISIONAL,106009
NO VOTER SIGNATURE,NPP,PROVISIONAL,117091
NO VOTER SIGNATURE,NPP,PROVISIONAL,106009
VOTED WRONG COUNTY,NPP,PROVISIONAL,128002
NO VOTER SIGNATURE,NPP,PROVISIONAL,117088
VOTER ALREADY VOTED,DEM,PROVISIONAL,121003
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,132002
NO VOTER SIGNATURE,NPP,PROVISIONAL,103001
NO VOTER SIGNATURE,NPP,PROVISIONAL,106009
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,102001
NO VOTER SIGNATURE,DEM,PROVISIONAL,128005
NO VOTER SIGNATURE,DEM,PROVISIONAL,117004
NO VOTER SIGNATURE,NPP,PROVISIONAL,103010
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,117003
VOTED WRONG COUNTY,DEM,PROVISIONAL,128022
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,126008
NO VOTER SIGNATURE,REP,PROVISIONAL,110008
NO VOTER SIGNATURE,NPP,PROVISIONAL,117004
NO VOTER SIGNATURE,REP,PROVISIONAL,128007
PROVISIONAL ENVELOPE INCOMPLETE,NPP,PROVISIONAL,117072
PROVISIONAL ENVELOPE INCOMPLETE,DEM,PROVISIONAL,117005
RECEIVED TOO LATE,DEM,VOTE BY MAIL,121003
RECEIVED TOO LATE,DEM,VOTE BY MAIL,128022
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117011
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117112
RECEIVED TOO LATE,REP,VOTE BY MAIL,117088
NO VOTER SIGNATURE,NPP,VOTE BY MAIL,103002
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117091
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117080
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117038
RECEIVED TOO LATE,REP,VOTE BY MAIL,124001
RECEIVED TOO LATE,DEM,VOTE BY MAIL,119001
RECEIVED TOO LATE,REP,VOTE BY MAIL,119001
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117006
RECEIVED TOO LATE,DEM,VOTE BY MAIL,117003
NON-MATCHING SIGNATURE,DEM,VOTE BY MAIL,117072
